order,ticket_id,title,depends_on,spec_inputs,required_gates,artifact_directory,ticket_specific_artifacts,exit_criteria
11,WF-011,Implement per-session transaction ownership and rollback rules,WF-010,17/NORMATIVE_UDR_SB_CLUSTER_FABRIC_CHECKLIST.md;24/CATALOG_TABLE_SCHEMA_SB_CLUSTER_FABRIC.md;29/NORMATIVE_SERVER_CLUSTER_UDR_FABRIC_CHECKLIST.md,P17-FABRIC-02;R29-FABRIC-02,docs/specifications/work/implementation_tracks/cluster_fabric_workpack/evidence/WF-011/,TXN_OWNERSHIP_RULES.csv;TXN_ROLLBACK_ON_CLOSE_AUDIT.csv;TXN_BINDING_TEST_RESULTS.md,Cross-session transaction reuse is rejected and forced rollback is deterministic
12,WF-012,Implement deterministic task scheduler and routing,WF-011,29/NORMATIVE_SERVER_CLUSTER_UDR_FABRIC_CHECKLIST.md,R29-FABRIC-03,docs/specifications/work/implementation_tracks/cluster_fabric_workpack/evidence/WF-012/,TASK_DISPATCH_ORDER_TRACE.ndjson;TASK_QUEUE_LIMIT_AUDIT.csv;TASK_ROUTING_HEALTH_AUDIT.csv,Task dispatch follows deterministic priority and tie-break rules
13,WF-013,Implement election task kinds and term safety,WF-012,17/NORMATIVE_UDR_SB_CLUSTER_FABRIC_CHECKLIST.md;29/NORMATIVE_SERVER_CLUSTER_UDR_FABRIC_CHECKLIST.md,R29-FABRIC-03,docs/specifications/work/implementation_tracks/cluster_fabric_workpack/evidence/WF-013/,ELECTION_TERM_VALIDATION.csv;ELECTION_STATE_PERSIST_AUDIT.csv;ELECTION_TASK_TEST_RESULTS.md,Election propose vote commit sequence is deterministic and term-safe
14,WF-014,Implement data-transfer task chunk streaming and integrity,WF-012,17/NORMATIVE_UDR_SB_CLUSTER_FABRIC_CHECKLIST.md;26/CLUSTER_UDR_FABRIC_CHANNEL_SPEC.md;29/NORMATIVE_SERVER_CLUSTER_UDR_FABRIC_CHECKLIST.md,P17-FABRIC-03;R29-FABRIC-03;T26-I,docs/specifications/work/implementation_tracks/cluster_fabric_workpack/evidence/WF-014/,TRANSFER_CHUNK_SEQUENCE_AUDIT.csv;TRANSFER_CHECKSUM_AUDIT.csv;TRANSFER_RESUME_TEST_RESULTS.md,Chunk order checksum and resumability are deterministic and auditable
15,WF-015,Implement passthrough SBLR task execution path,WF-012,17/NORMATIVE_UDR_SB_CLUSTER_FABRIC_CHECKLIST.md;26/CLUSTER_UDR_FABRIC_CHANNEL_SPEC.md;29/NORMATIVE_SERVER_CLUSTER_UDR_FABRIC_CHECKLIST.md,P17-FABRIC-03;R29-FABRIC-03;T26-I,docs/specifications/work/implementation_tracks/cluster_fabric_workpack/evidence/WF-015/,PASSTHROUGH_SBLR_PAYLOAD_AUDIT.csv;PASSTHROUGH_SQL_REJECTION_AUDIT.csv;PASSTHROUGH_SECURITY_CONTEXT_AUDIT.csv,SQL payloads are rejected and SBLR-only execution is enforced with session security
16,WF-016,Implement verification task kinds and mismatch persistence,WF-012,17/NORMATIVE_UDR_SB_CLUSTER_FABRIC_CHECKLIST.md;24/CATALOG_TABLE_SCHEMA_SB_CLUSTER_FABRIC.md;29/NORMATIVE_SERVER_CLUSTER_UDR_FABRIC_CHECKLIST.md,R29-FABRIC-03,docs/specifications/work/implementation_tracks/cluster_fabric_workpack/evidence/WF-016/,VERIFY_EXPECTED_OBSERVED_FINGERPRINTS.csv;VERIFY_MISMATCH_EVENT_AUDIT.csv;VERIFY_TASK_TEST_RESULTS.md,Verification outputs persist expected and observed fingerprints with deterministic mismatch events
17,WF-017,Implement degraded pause disable recovery and fencing flow,WF-013;WF-014;WF-015;WF-016,17/NORMATIVE_UDR_SB_CLUSTER_FABRIC_CHECKLIST.md;25/CLUSTER_UDR_FABRIC_RUNTIME_MODEL.md;29/NORMATIVE_SERVER_CLUSTER_UDR_FABRIC_CHECKLIST.md,P17-FABRIC-04;R29-FABRIC-04;T26-I;T27-G,docs/specifications/work/implementation_tracks/cluster_fabric_workpack/evidence/WF-017/,HEARTBEAT_THRESHOLD_TRANSITIONS.csv;DISABLE_RECOVERY_AUTH_AUDIT.csv;FAILURE_FENCING_TEST_RESULTS.md,Failure paths are fail-closed and authenticated recovery is mandatory
18,WF-018,Implement native SQL control grammar to control-op mapping,WF-011,21/NATIVE_CLUSTER_FABRIC_SQL.md;28/NORMATIVE_PARSER_CLUSTER_FABRIC_CONTROL_CHECKLIST.md,P28-FABRIC-01,docs/specifications/work/implementation_tracks/cluster_fabric_workpack/evidence/WF-018/,PARSER_CLUSTER_FABRIC_GRAMMAR_CASES.csv;FEATURE_KEY_MAPPING_AUDIT.csv;CAPABILITY_GATE_RESULTS.md,Each native fabric statement maps to exactly one deterministic feature key
19,WF-019,Implement parser control envelopes and show response-shape contracts,WF-018,21/NATIVE_CLUSTER_FABRIC_SQL.md;28/NORMATIVE_PARSER_CLUSTER_FABRIC_CONTROL_CHECKLIST.md,P28-FABRIC-02;P28-FABRIC-03,docs/specifications/work/implementation_tracks/cluster_fabric_workpack/evidence/WF-019/,CONTROL_ENVELOPE_FIELD_AUDIT.csv;SHOW_RESULT_SHAPE_AUDIT.csv;PARSER_RESPONSE_MAPPING_RESULTS.md,All control envelopes and SHOW responses satisfy fixed schema and UUID binding rules
20,WF-020,Implement emulated parser deterministic reject policy for native fabric SQL,WF-018,28/NORMATIVE_PARSER_CLUSTER_FABRIC_CONTROL_CHECKLIST.md,P28-FABRIC-03,docs/specifications/work/implementation_tracks/cluster_fabric_workpack/evidence/WF-020/,EMULATED_PARSER_REJECTION_MATRIX.csv;PROFILE_REMAP_EXCEPTIONS.csv;EMULATED_REJECTION_TEST_RESULTS.md,Emulated parsers reject native fabric SQL unless explicit remap exists
21,WF-021,Execute end-to-end integration scenarios for cluster fabric,WF-017;WF-019;WF-020,17/NORMATIVE_UDR_SB_CLUSTER_FABRIC_CHECKLIST.md;21/NATIVE_CLUSTER_FABRIC_SQL.md;24/CATALOG_TABLE_SCHEMA_SB_CLUSTER_FABRIC.md;25/CLUSTER_UDR_FABRIC_RUNTIME_MODEL.md;26/CLUSTER_UDR_FABRIC_CHANNEL_SPEC.md;27/HANDSHAKE_MESSAGE_SCHEMAS.md;28/NORMATIVE_PARSER_CLUSTER_FABRIC_CONTROL_CHECKLIST.md;29/NORMATIVE_SERVER_CLUSTER_UDR_FABRIC_CHECKLIST.md,P17-FABRIC-01;P17-FABRIC-02;P17-FABRIC-03;P17-FABRIC-04;T26-I;T27-G;P28-FABRIC-01;P28-FABRIC-02;P28-FABRIC-03;R29-FABRIC-01;R29-FABRIC-02;R29-FABRIC-03;R29-FABRIC-04,docs/specifications/work/implementation_tracks/cluster_fabric_workpack/evidence/WF-021/,E2E_SCENARIO_MATRIX.csv;E2E_TRACE.ndjson;E2E_EXPECTED_VS_OBSERVED.csv;E2E_RESULTS.md,All required end-to-end scenarios pass with deterministic outputs
22,WF-022,Publish gate evidence and release readiness pack,WF-021,GATE_EVIDENCE_MATRIX.csv;31/GATE_EVIDENCE_ARTIFACT_MATRIX.md,P17-FABRIC-01;P17-FABRIC-02;P17-FABRIC-03;P17-FABRIC-04;T26-I;T27-G;P28-FABRIC-01;P28-FABRIC-02;P28-FABRIC-03;R29-FABRIC-01;R29-FABRIC-02;R29-FABRIC-03;R29-FABRIC-04,docs/specifications/work/implementation_tracks/cluster_fabric_workpack/evidence/WF-022/,GATE_EXECUTION_PLAN.md;GATE_EVIDENCE_INDEX.csv;GATE_RUN_SUMMARY.md;READY_FOR_DDL_STAGE.md,All gate evidence artifacts are present checksum-stable and cross-referenced
