legacy_internal_name,legacy_alias_record,canonical_table,canonical_branch,mapping_kind,migration_action,notes,spec_ref
procedures,sys.procedurerecord,procedure,root.sys.system.catalog.code,direct_rename,rename,Legacy plural form normalized to singular,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_INVENTORY.md
procedure_params,sys.procedureparameterrecord,procedure_param,root.sys.system.catalog.code,direct_rename,rename,Legacy plural form normalized to singular,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_INVENTORY.md
domains,sys.domainrecord,domain,root.sys.system.catalog.types,direct_rename,rename,Legacy plural form normalized to singular,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_INVENTORY.md
udr,sys.udrrecord,udr,root.sys.system.catalog.code,retain,retain,Already canonical singular name,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_INVENTORY.md
udr_engines,sys.udrenginerecord,udr_engine,root.sys.system.catalog.code,direct_rename,rename,Legacy plural form normalized to singular,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_INVENTORY.md
udr_modules,sys.udrmodulerecord,udr_module,root.sys.system.catalog.code,direct_rename,rename,Legacy plural form normalized to singular,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_INVENTORY.md
exceptions,sys.exceptionrecord,exception,root.sys.system.catalog.code,direct_rename,rename,Legacy plural form normalized to singular,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_INVENTORY.md
packages,sys.packagerecord,package,root.sys.system.catalog.code,direct_rename,rename,Legacy plural form normalized to singular,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_INVENTORY.md
emulation_types,sys.emulationtyperecord,emulation_type,root.sys.system.catalog.integration,direct_rename,rename,Legacy plural form normalized to singular,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_INVENTORY.md
emulation_servers,sys.emulationserverrecord,emulation_server,root.sys.system.catalog.integration,direct_rename,rename,Legacy plural form normalized to singular,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_INVENTORY.md
emulated_dbs,sys.emulateddatabaserecord,emulated_database,root.sys.system.catalog.integration,direct_rename,rename,Legacy abbreviated plural renamed to canonical singular,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_INVENTORY.md
extensions,,extension,root.sys.system.catalog.replication,direct_rename,rename,Legacy plural form normalized to singular,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_INVENTORY.md
tablespaces,,filespaces,root.sys.system.catalog.storage,direct_rename,rename,Legacy term tablespace replaced by canonical filespace naming,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_INVENTORY.md
tablespace_files,,filespace_files,root.sys.system.catalog.storage,direct_rename,rename,Legacy term tablespace replaced by canonical filespace naming,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_INVENTORY.md
synonyms,sys.synonymrecord,synonym,root.sys.system.catalog.core,direct_rename,rename,Legacy plural form normalized to singular,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_INVENTORY.md
foreign_servers,sys.foreignserverrecord,fdw_server,root.sys.system.catalog.integration,direct_rename,rename,Legacy foreign server table normalized to fdw_server,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_INVENTORY.md
foreign_tables,sys.foreigntablerecord,foreign_table,root.sys.system.catalog.integration,direct_rename,rename,Legacy plural form normalized to singular,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_INVENTORY.md
user_mappings,sys.usermappingrecord,fdw_user_mapping,root.sys.system.catalog.integration,direct_rename,rename,Legacy mapping table normalized to fdw_user_mapping,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_INVENTORY.md
server_registry,sys.serverregistryrecord,server_registry,root.sys.system.catalog.cluster,retain,retain,Already canonical table name,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_INVENTORY.md
migration_history,sys.migrationhistoryinfo,migration_history,root.sys.system.catalog.storage,retain,retain,Already canonical table name,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_INVENTORY.md
dormant_transactions,sys.dormanttransactionrecord,dormant_transaction,root.sys.monitor.catalog.runtime,direct_rename,rename,Legacy plural form normalized to singular,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_INVENTORY.md
prepared_transactions,sys.preparedtransactionrecord,prepared_transaction,root.sys.monitor.catalog.runtime,direct_rename,rename,Legacy plural form normalized to singular,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_INVENTORY.md
encryption_keys,,sys.security.encryption_key,root.sys.security.catalog.crypto,one_to_many_split,split,Legacy single encryption table split into encryption_profile/encryption_key/encryption_key_shard/encryption_bootstrap_info,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_SCHEMA_SECURITY.md
authkeys,sys.authkeyrecord,authkey,root.sys.security.catalog.auth,direct_rename,rename,Legacy plural form normalized to singular,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_INVENTORY.md
sessions,sys.sessionrecord,session,root.sys.security.catalog.sessions,direct_rename,rename,Legacy plural form normalized to singular,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_INVENTORY.md
audit_log,sys.auditlogrecord,audit_log,root.sys.security.catalog.audit,retain,retain,Already canonical table name,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_INVENTORY.md
security_policy_epoch,sys.securitypolicyepochrecord,security_policy_epoch,root.sys.security.catalog.authorization,retain,retain,Already canonical table name,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_INVENTORY.md
legacy_none,,database,root.sys.system.catalog.core,canonical_only_new,create_new,No legacy persisted equivalent exists in current catalog slot set,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_INVENTORY.md
legacy_none,,object,root.sys.system.catalog.core,canonical_only_new,create_new,No legacy persisted equivalent exists in current catalog slot set,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_INVENTORY.md
legacy_none,,object_name,root.sys.system.catalog.core,canonical_only_new,create_new,No legacy persisted equivalent exists in current catalog slot set,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_INVENTORY.md
legacy_none,,home_schema_binding,root.sys.security.catalog.principals,canonical_only_new,create_new,Required for deterministic home schema resolution,24_Catalog_Model_and_Virtual_Overlays/SCHEMA_HOME_AND_SEARCH_PATH_SEMANTICS.md
legacy_none,,search_path_profile,root.sys.security.catalog.sessions,canonical_only_new,create_new,Required for persisted search path profiles,24_Catalog_Model_and_Virtual_Overlays/SCHEMA_HOME_AND_SEARCH_PATH_SEMANTICS.md
legacy_none,,search_path_entry,root.sys.security.catalog.sessions,canonical_only_new,create_new,Required for ordered persisted schema path entries,24_Catalog_Model_and_Virtual_Overlays/SCHEMA_HOME_AND_SEARCH_PATH_SEMANTICS.md
legacy_none,,reserved_words,root.sys.system.catalog.integration,canonical_only_new,create_new,Required for parser keyword gating model,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_INVENTORY.md
legacy_none,,parser_profile,root.sys.system.catalog.integration,canonical_only_new,create_new,Required for parser capability authority model,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_SCHEMA_PARSER_CAPABILITIES.md
legacy_none,,parser_capability_entry,root.sys.system.catalog.integration,canonical_only_new,create_new,Required for parser capability authority model,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_SCHEMA_PARSER_CAPABILITIES.md
legacy_none,,parser_transform_entry,root.sys.system.catalog.integration,canonical_only_new,create_new,Required for parser capability authority model,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_SCHEMA_PARSER_CAPABILITIES.md
legacy_none,,parser_error_map_entry,root.sys.system.catalog.integration,canonical_only_new,create_new,Required for parser capability authority model,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_SCHEMA_PARSER_CAPABILITIES.md
legacy_none,,parser_feature_precedence,root.sys.system.catalog.integration,canonical_only_new,create_new,Required for deterministic feature precedence,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_SCHEMA_PARSER_CAPABILITIES.md
legacy_none,,cluster_fabric_link,root.sys.system.catalog.cluster,canonical_only_new,create_new,Required for parserless SB cluster fabric model,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_SCHEMA_SB_CLUSTER_FABRIC.md
legacy_none,,replication_channel,root.sys.system.catalog.replication,canonical_only_new,create_new,Required for one-way and bi-directional replication runtime model,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_SCHEMA_REPLICATION_RUNTIME_AND_CONFLICT_RESOLUTION.md
legacy_none,,resource_bundle,root.sys.system.catalog.types,canonical_only_new,create_new,Required for i18n/tz resource lifecycle management,24_Catalog_Model_and_Virtual_Overlays/CATALOG_I18N_TIMEZONE_RESOURCE_BOOTSTRAP_AND_UPDATE.md
legacy_none,,resource_artifact,root.sys.system.catalog.types,canonical_only_new,create_new,Required for persisted resource artifacts,24_Catalog_Model_and_Virtual_Overlays/CATALOG_I18N_TIMEZONE_RESOURCE_BOOTSTRAP_AND_UPDATE.md
legacy_none,,timezone_transition,root.sys.system.catalog.types,canonical_only_new,create_new,Required for deterministic timezone history,24_Catalog_Model_and_Virtual_Overlays/CATALOG_I18N_TIMEZONE_RESOURCE_BOOTSTRAP_AND_UPDATE.md
legacy_none,,timezone_leap_second,root.sys.system.catalog.types,canonical_only_new,create_new,Required for deterministic leap second handling,24_Catalog_Model_and_Virtual_Overlays/CATALOG_I18N_TIMEZONE_RESOURCE_BOOTSTRAP_AND_UPDATE.md
legacy_none,,clock_policy,root.sys.system.catalog.cluster,canonical_only_new,create_new,Required for cluster clock discipline policy,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_INVENTORY.md
legacy_none,,clock_source,root.sys.system.catalog.cluster,canonical_only_new,create_new,Required for cluster clock source governance,24_Catalog_Model_and_Virtual_Overlays/CATALOG_TABLE_INVENTORY.md
