engine,donor_surface_key,surface_kind,raw_missing_class,audit_class,emulation_priority,new_sb_physical_runtime_required,required_sb_work,donor_evidence_path,sb_evidence_path,rationale
Milvus,BITMAP,scalar_index_type,missing_engine_mapping_but_direct_family_exists,EXISTING_SB_SURFACE,P1,no,"Add donor mapping, parser admission, and dialect/catalog/wire shaping only.",docs/reference/project_clones/local_existing/milvus/internal/util/indexparamcheck/index_type.go,include/scratchbird/parser/ast_v3.h; src/parser/parser_v3.cpp; src/core/index_factory.cpp,"SB already exposes the family or named donor-shaped family; missing work is mapping, not a new runtime."
Milvus,HYBRID,scalar_index_type,missing_engine_mapping_and_no_direct_family,NON_FAMILY_PROPERTY_OR_MODIFIER,P0,no,"Exclude from physical-family backlog; model in DDL, routing, or planner layers only.",docs/reference/project_clones/local_existing/milvus/internal/util/indexparamcheck/index_type.go,,Source evidence shows this is not a new persisted family.
Milvus,INVERTED,scalar_index_type,missing_engine_mapping_but_direct_family_exists,EXISTING_SB_SURFACE,P1,no,"Add donor mapping, parser admission, and dialect/catalog/wire shaping only.",docs/reference/project_clones/local_existing/milvus/internal/util/indexparamcheck/index_type.go,include/scratchbird/parser/ast_v3.h; src/parser/parser_v3.cpp; src/core/index_factory.cpp,"SB already exposes the family or named donor-shaped family; missing work is mapping, not a new runtime."
Milvus,NGRAM,scalar_index_type,missing_engine_mapping_but_direct_family_exists,EXISTING_SB_SURFACE,P1,no,"Add donor mapping, parser admission, and dialect/catalog/wire shaping only.",docs/reference/project_clones/local_existing/milvus/internal/util/indexparamcheck/index_type.go,include/scratchbird/parser/ast_v3.h; src/parser/parser_v3.cpp; src/core/index_factory.cpp,"SB already exposes the family or named donor-shaped family; missing work is mapping, not a new runtime."
Milvus,RTREE,scalar_index_type,missing_engine_mapping_but_direct_family_exists,EXISTING_SB_SURFACE,P1,no,"Add donor mapping, parser admission, and dialect/catalog/wire shaping only.",docs/reference/project_clones/local_existing/milvus/internal/util/indexparamcheck/index_type.go,include/scratchbird/parser/ast_v3.h; src/parser/parser_v3.cpp; src/core/index_factory.cpp,"SB already exposes the family or named donor-shaped family; missing work is mapping, not a new runtime."
Milvus,AUTOINDEX,scalar_index_type,missing_engine_mapping_and_no_direct_family,NEW_DONOR_SURFACE_OVER_EXISTING_RUNTIME,P1,no,Add donor-visible Milvus family or policy mapping over existing ANN runtimes with per-family validator metadata.,docs/reference/project_clones/local_existing/milvus/internal/util/indexparamcheck/index_type.go,include/scratchbird/parser/ast_v3.h; src/core/index_factory.cpp,"SB has ANN runtimes already; missing work is donor-visible naming, validation, and metadata binding."
Dolt,UNIQUE,index_property,missing_engine_mapping_and_no_direct_family,NON_FAMILY_PROPERTY_OR_MODIFIER,P0,no,Do not add as a physical family; handle in DDL/property layer if Dolt emulation needs it.,docs/reference/project_clones/remote/dolt/go/libraries/doltcore/schema/index.go,,"Dolt source exposes this as an index property, not a separate family."
Dolt,SPATIAL,index_property,missing_engine_mapping_and_no_direct_family,NON_FAMILY_PROPERTY_OR_MODIFIER,P0,no,Do not add as a physical family; handle in DDL/property layer if Dolt emulation needs it.,docs/reference/project_clones/remote/dolt/go/libraries/doltcore/schema/index.go,,"Dolt source exposes this as an index property, not a separate family."
Dolt,FULLTEXT,index_property,missing_engine_mapping_but_direct_family_exists,NON_FAMILY_PROPERTY_OR_MODIFIER,P0,no,Do not add as a physical family; handle in DDL/property layer if Dolt emulation needs it.,docs/reference/project_clones/remote/dolt/go/libraries/doltcore/schema/index.go,,"Dolt source exposes this as an index property, not a separate family."
Dolt,VECTOR,index_property,missing_engine_mapping_and_no_direct_family,NON_FAMILY_PROPERTY_OR_MODIFIER,P0,no,Do not add as a physical family; handle in DDL/property layer if Dolt emulation needs it.,docs/reference/project_clones/remote/dolt/go/libraries/doltcore/schema/index.go,,"Dolt source exposes this as an index property, not a separate family."
Vitess,HASH,index_algorithm_token,missing_engine_mapping_but_direct_family_exists,EXISTING_SB_SURFACE,P1,no,Add donor mapping only.,docs/reference/project_clones/remote/vitess/go/vt/sqlparser/sql.y,include/scratchbird/parser/ast_v3.h; src/parser/parser_v3.cpp; src/core/index_factory.cpp,Direct SB family already exists.
Vitess,FULLTEXT,index_algorithm_token,missing_engine_mapping_but_direct_family_exists,EXISTING_SB_SURFACE,P1,no,Add donor mapping only.,docs/reference/project_clones/remote/vitess/go/vt/sqlparser/sql.y,include/scratchbird/parser/ast_v3.h; src/parser/parser_v3.cpp; src/core/index_factory.cpp,Direct SB family already exists.
Vitess,SPATIAL,index_algorithm_token,missing_engine_mapping_and_no_direct_family,NEW_DONOR_SURFACE_OVER_EXISTING_RUNTIME,P1,no,Add SPATIAL alias lowering over existing spatial runtime with donor-specific DDL/plan rendering rules.,docs/reference/project_clones/remote/vitess/go/vt/sqlparser/sql.y,include/scratchbird/parser/ast_v3.h; src/core/index_factory.cpp; src/optimizer/index_family_lowering.cpp,"Donor token is real, but SB currently exposes RTREE and donor-specific geo names instead of generic SPATIAL."
Vitess,VINDEX,routing_index_surface,missing_engine_mapping_and_no_direct_family,NON_FAMILY_PROPERTY_OR_MODIFIER,P0,no,"Exclude from physical-family backlog; model in DDL, routing, or planner layers only.",docs/reference/project_clones/remote/vitess/go/vt/vtgate/vindexes,,Source evidence shows this is not a new persisted family.
immudb,SECONDARY_INDEX,index_surface,missing_engine_mapping_and_no_direct_family,NON_FAMILY_PROPERTY_OR_MODIFIER,P0,no,"Exclude from physical-family backlog; model in DDL, routing, or planner layers only.",docs/reference/project_clones/remote/immudb/embedded/sql/sql_grammar.y,,Source evidence shows this is not a new persisted family.
immudb,UNIQUE_INDEX,index_surface,missing_engine_mapping_and_no_direct_family,NON_FAMILY_PROPERTY_OR_MODIFIER,P0,no,"Exclude from physical-family backlog; model in DDL, routing, or planner layers only.",docs/reference/project_clones/remote/immudb/embedded/sql/sql_grammar.y,,Source evidence shows this is not a new persisted family.
immudb,USE_INDEX_HINT,index_surface,missing_engine_mapping_and_no_direct_family,NON_FAMILY_PROPERTY_OR_MODIFIER,P0,no,"Exclude from physical-family backlog; model in DDL, routing, or planner layers only.",docs/reference/project_clones/remote/immudb/embedded/sql/sql_grammar.y,,Source evidence shows this is not a new persisted family.
XTDB,HEAP,pg_access_method,missing_engine_mapping_and_no_direct_family,NON_FAMILY_PROPERTY_OR_MODIFIER,P0,no,"Exclude from physical-family backlog; model in DDL, routing, or planner layers only.",docs/reference/project_clones/remote/xtdb/core/src/main/clojure/xtdb/information_schema.clj,,Source evidence shows this is not a new persisted family.
XTDB,BTREE,pg_access_method,missing_engine_mapping_but_direct_family_exists,EXISTING_SB_SURFACE,P1,no,Add donor mapping only.,docs/reference/project_clones/remote/xtdb/core/src/main/clojure/xtdb/information_schema.clj,include/scratchbird/parser/ast_v3.h; src/parser/parser_v3.cpp; src/core/index_factory.cpp,Direct SB family already exists.
XTDB,HASH,pg_access_method,missing_engine_mapping_but_direct_family_exists,EXISTING_SB_SURFACE,P1,no,Add donor mapping only.,docs/reference/project_clones/remote/xtdb/core/src/main/clojure/xtdb/information_schema.clj,include/scratchbird/parser/ast_v3.h; src/parser/parser_v3.cpp; src/core/index_factory.cpp,Direct SB family already exists.
XTDB,TRIE,physical_trie_surface,missing_engine_mapping_but_direct_family_exists,EXISTING_SB_SURFACE,P1,no,"Add donor mapping, parser admission, and dialect/catalog/wire shaping only.",docs/reference/project_clones/remote/xtdb/core/src/main/clojure/xtdb/trie_catalog.clj,include/scratchbird/parser/ast_v3.h; src/parser/parser_v3.cpp; src/core/index_factory.cpp,"SB already exposes the family or named donor-shaped family; missing work is mapping, not a new runtime."
TiDB,BTREE,index_algorithm_token,missing_engine_mapping_but_direct_family_exists,EXISTING_SB_SURFACE,P1,no,Add donor mapping only.,docs/reference/project_clones/remote/tidb/pkg/parser/parser.y,include/scratchbird/parser/ast_v3.h; src/parser/parser_v3.cpp; src/core/index_factory.cpp,Direct SB family already exists.
TiDB,HASH,index_algorithm_token,missing_engine_mapping_but_direct_family_exists,EXISTING_SB_SURFACE,P1,no,Add donor mapping only.,docs/reference/project_clones/remote/tidb/pkg/parser/parser.y,include/scratchbird/parser/ast_v3.h; src/parser/parser_v3.cpp; src/core/index_factory.cpp,Direct SB family already exists.
TiDB,FULLTEXT,index_algorithm_token,missing_engine_mapping_but_direct_family_exists,EXISTING_SB_SURFACE,P1,no,Add donor mapping only.,docs/reference/project_clones/remote/tidb/pkg/parser/parser.y,include/scratchbird/parser/ast_v3.h; src/parser/parser_v3.cpp; src/core/index_factory.cpp,Direct SB family already exists.
TiDB,SPATIAL,index_algorithm_token,missing_engine_mapping_and_no_direct_family,NEW_DONOR_SURFACE_OVER_EXISTING_RUNTIME,P1,no,Add SPATIAL alias lowering over existing spatial runtime with donor-specific DDL/plan rendering rules.,docs/reference/project_clones/remote/tidb/pkg/parser/parser.y,include/scratchbird/parser/ast_v3.h; src/core/index_factory.cpp; src/optimizer/index_family_lowering.cpp,"Donor token is real, but SB currently exposes RTREE and donor-specific geo names instead of generic SPATIAL."
TiDB,VECTOR,index_algorithm_token,missing_engine_mapping_and_no_direct_family,NEW_DONOR_SURFACE_OVER_EXISTING_RUNTIME,P1,no,Add donor-visible VECTOR family name plus validator and persisted mode metadata over existing SB vector runtimes.,docs/reference/project_clones/remote/tidb/pkg/parser/parser.y,include/scratchbird/parser/ast_v3.h; src/core/index_factory.cpp,Donor exposes a real vector index kind; SB has vector runtimes but not this donor-visible surface.
CockroachDB,FORWARD,index_type_enum,missing_engine_mapping_and_no_direct_family,NON_FAMILY_PROPERTY_OR_MODIFIER,P0,no,"Exclude from physical-family backlog; model in DDL, routing, or planner layers only.",docs/reference/project_clones/remote/cockroachdb/pkg/sql/sem/idxtype/idxtype.proto,,Source evidence shows this is not a new persisted family.
CockroachDB,INVERTED,index_type_enum,missing_engine_mapping_but_direct_family_exists,EXISTING_SB_SURFACE,P1,no,"Add donor mapping, parser admission, and dialect/catalog/wire shaping only.",docs/reference/project_clones/remote/cockroachdb/pkg/sql/sem/idxtype/idxtype.proto,include/scratchbird/parser/ast_v3.h; src/parser/parser_v3.cpp; src/core/index_factory.cpp,"SB already exposes the family or named donor-shaped family; missing work is mapping, not a new runtime."
CockroachDB,VECTOR,index_type_enum,missing_engine_mapping_and_no_direct_family,NEW_DONOR_SURFACE_OVER_EXISTING_RUNTIME,P1,no,Add donor-visible VECTOR family name plus validator and persisted mode metadata over existing SB vector runtimes.,docs/reference/project_clones/remote/cockroachdb/pkg/sql/sem/idxtype/idxtype.proto,include/scratchbird/parser/ast_v3.h; src/core/index_factory.cpp,Donor exposes a real vector index kind; SB has vector runtimes but not this donor-visible surface.
CockroachDB,HASH_SHARDED,index_modifier,missing_engine_mapping_and_no_direct_family,NON_FAMILY_PROPERTY_OR_MODIFIER,P0,no,"Exclude from physical-family backlog; model in DDL, routing, or planner layers only.",docs/reference/project_clones/remote/cockroachdb/pkg/sql/opt/optbuilder/mutation_builder.go,,Source evidence shows this is not a new persisted family.
YugabyteDB,BTREE,index_access_method,missing_engine_mapping_but_direct_family_exists,EXISTING_SB_SURFACE,P1,no,Add donor mapping only.,docs/reference/project_clones/remote/yugabytedb/src/postgres/src/include/catalog/pg_am.dat,include/scratchbird/parser/ast_v3.h; src/parser/parser_v3.cpp; src/core/index_factory.cpp,Direct SB family already exists.
YugabyteDB,HASH,index_access_method,missing_engine_mapping_but_direct_family_exists,EXISTING_SB_SURFACE,P1,no,Add donor mapping only.,docs/reference/project_clones/remote/yugabytedb/src/postgres/src/include/catalog/pg_am.dat,include/scratchbird/parser/ast_v3.h; src/parser/parser_v3.cpp; src/core/index_factory.cpp,Direct SB family already exists.
YugabyteDB,GIST,index_access_method,missing_engine_mapping_but_direct_family_exists,EXISTING_SB_SURFACE,P1,no,Add donor mapping only.,docs/reference/project_clones/remote/yugabytedb/src/postgres/src/include/catalog/pg_am.dat,include/scratchbird/parser/ast_v3.h; src/parser/parser_v3.cpp; src/core/index_factory.cpp,Direct SB family already exists.
YugabyteDB,GIN,index_access_method,missing_engine_mapping_but_direct_family_exists,EXISTING_SB_SURFACE,P1,no,Add donor mapping only.,docs/reference/project_clones/remote/yugabytedb/src/postgres/src/include/catalog/pg_am.dat,include/scratchbird/parser/ast_v3.h; src/parser/parser_v3.cpp; src/core/index_factory.cpp,Direct SB family already exists.
YugabyteDB,SPGIST,index_access_method,missing_engine_mapping_but_direct_family_exists,EXISTING_SB_SURFACE,P1,no,Add donor mapping only.,docs/reference/project_clones/remote/yugabytedb/src/postgres/src/include/catalog/pg_am.dat,include/scratchbird/parser/ast_v3.h; src/parser/parser_v3.cpp; src/core/index_factory.cpp,Direct SB family already exists.
YugabyteDB,BRIN,index_access_method,missing_engine_mapping_but_direct_family_exists,EXISTING_SB_SURFACE,P1,no,Add donor mapping only.,docs/reference/project_clones/remote/yugabytedb/src/postgres/src/include/catalog/pg_am.dat,include/scratchbird/parser/ast_v3.h; src/parser/parser_v3.cpp; src/core/index_factory.cpp,Direct SB family already exists.
YugabyteDB,LSM,index_access_method,missing_engine_mapping_but_direct_family_exists,EXISTING_SB_SURFACE,P1,no,Add donor mapping only.,docs/reference/project_clones/remote/yugabytedb/src/postgres/src/include/catalog/pg_am.dat,include/scratchbird/parser/ast_v3.h; src/parser/parser_v3.cpp; src/core/index_factory.cpp,Direct SB family already exists.
YugabyteDB,YBGIN,index_access_method,missing_engine_mapping_and_no_direct_family,NEW_DONOR_SURFACE_OVER_EXISTING_RUNTIME,P1,no,Add donor-visible YBGIN access-method surface or explicit GIN-based lowering spec for Yugabyte emulation.,docs/reference/project_clones/remote/yugabytedb/src/postgres/src/include/catalog/pg_am.dat,include/scratchbird/parser/ast_v3.h; src/core/index_factory.cpp,Yugabyte names a distinct access method even though SB already has GIN.
Citus,INDEX,distributed_index_surface,missing_engine_mapping_and_no_direct_family,NON_FAMILY_PROPERTY_OR_MODIFIER,P0,no,"Exclude from physical-family backlog; model in DDL, routing, or planner layers only.",docs/reference/project_clones/remote/citus/src/backend/distributed/commands/dependencies.c,,Source evidence shows this is not a new persisted family.
Citus,PARTITIONED_INDEX,distributed_index_surface,missing_engine_mapping_and_no_direct_family,NON_FAMILY_PROPERTY_OR_MODIFIER,P0,no,"Exclude from physical-family backlog; model in DDL, routing, or planner layers only.",docs/reference/project_clones/remote/citus/src/backend/distributed/commands/dependencies.c,,Source evidence shows this is not a new persisted family.
Apache Ignite,HASH,index_type_enum,missing_engine_mapping_but_direct_family_exists,EXISTING_SB_SURFACE,P1,no,Add donor mapping only.,docs/reference/project_clones/remote/apache_ignite/modules/indexing/src/main/java/org/apache/ignite/internal/processors/query/h2/database/H2IndexType.java,include/scratchbird/parser/ast_v3.h; src/parser/parser_v3.cpp; src/core/index_factory.cpp,Direct SB family already exists.
Apache Ignite,BTREE,index_type_enum,missing_engine_mapping_but_direct_family_exists,EXISTING_SB_SURFACE,P1,no,Add donor mapping only.,docs/reference/project_clones/remote/apache_ignite/modules/indexing/src/main/java/org/apache/ignite/internal/processors/query/h2/database/H2IndexType.java,include/scratchbird/parser/ast_v3.h; src/parser/parser_v3.cpp; src/core/index_factory.cpp,Direct SB family already exists.
Apache Ignite,SCAN,index_type_enum,missing_engine_mapping_and_no_direct_family,NON_FAMILY_PROPERTY_OR_MODIFIER,P0,no,"Exclude from physical-family backlog; model in DDL, routing, or planner layers only.",docs/reference/project_clones/remote/apache_ignite/modules/indexing/src/main/java/org/apache/ignite/internal/processors/query/h2/database/H2IndexType.java,,Source evidence shows this is not a new persisted family.
