corpus_id,family,input_sql,expected_feature_key,expected_decision,expected_error_code,expected_normalization_transforms,canonical_output,source_spec,notes
N-011,FG_ADMIN,"SCAN INDEX idx_orders LIGHT;",F_IDX_LIGHT_SCAN,REWRITE_ACCEPT,,"TR_CASE_NORMALIZE_IDENTIFIERS|TR_RESOLVE_DIALECT_ALIASES|TR_NORMALIZE_LITERAL_TYPES|TR_EXPAND_IMPLICIT_DEFAULTS|TR_CANONICALIZE_OPTION_KEYS","ALTER INDEX idx_orders LIGHT SCAN;",21_V3_Dialect_Surface/NATIVE_ADMIN_LANGUAGE_DEFINITION.md,Alias accepted when enabled
N-012,FG_ADMIN,"SCAN INDEX idx_orders LIGHT;",,REJECT,E_ALIAS_MODE_DISABLED,"TR_CASE_NORMALIZE_IDENTIFIERS|TR_RESOLVE_DIALECT_ALIASES",,21_V3_Dialect_Surface/NATIVE_PARSER_NORMALIZATION_AND_REJECTION_MATRIX.md,Alias rejected when mode disabled
N-013,FG_DML_SQL,"SELECT id FROM orders HAVING count(*) > 1;",,REJECT,E_CLAUSE_REQUIRED_MISSING,"TR_CASE_NORMALIZE_IDENTIFIERS|TR_RESOLVE_DIALECT_ALIASES",,21_V3_Dialect_Surface/NATIVE_PARSER_NORMALIZATION_AND_REJECTION_MATRIX.md,HAVING requires GROUP BY
N-014,FG_DML_SQL,"SELECT id FROM orders FOR UPDATE WHERE id > 1;",,REJECT,E_CLAUSE_ORDER_INVALID,"TR_CASE_NORMALIZE_IDENTIFIERS|TR_RESOLVE_DIALECT_ALIASES",,21_V3_Dialect_Surface/NATIVE_PARSER_NORMALIZATION_AND_REJECTION_MATRIX.md,Lock clause order invalid
N-015,FG_DML_SQL,"INSERT INTO orders(id) VALUES (1) DEFAULT VALUES;",,REJECT,E_CLAUSE_CONFLICT,"TR_CASE_NORMALIZE_IDENTIFIERS|TR_RESOLVE_DIALECT_ALIASES",,21_V3_Dialect_Surface/NATIVE_PARSER_NORMALIZATION_AND_REJECTION_MATRIX.md,Multiple source forms
N-016,FG_DML_SQL,"UPDATE orders WHERE id = 1;",,REJECT,E_CLAUSE_REQUIRED_MISSING,"TR_CASE_NORMALIZE_IDENTIFIERS|TR_RESOLVE_DIALECT_ALIASES",,21_V3_Dialect_Surface/NATIVE_PARSER_NORMALIZATION_AND_REJECTION_MATRIX.md,Missing SET clause
N-017,FG_DML_SQL,"DELETE FROM orders RETURNING id WHERE id = 1;",,REJECT,E_CLAUSE_ORDER_INVALID,"TR_CASE_NORMALIZE_IDENTIFIERS|TR_RESOLVE_DIALECT_ALIASES",,21_V3_Dialect_Surface/NATIVE_PARSER_NORMALIZATION_AND_REJECTION_MATRIX.md,RETURNING terminal violation
N-018,FG_DML_SQL,"COPY orders FROM '/tmp/in.csv' TO '/tmp/out.csv';",,REJECT,E_CLAUSE_CONFLICT,"TR_CASE_NORMALIZE_IDENTIFIERS|TR_RESOLVE_DIALECT_ALIASES",,21_V3_Dialect_Surface/NATIVE_PARSER_NORMALIZATION_AND_REJECTION_MATRIX.md,FROM and TO conflict
N-019,FG_PREPARED,"EXECUTE p_missing USING 1;",,REJECT,E_OPTION_VALUE_INVALID,"TR_CASE_NORMALIZE_IDENTIFIERS|TR_RESOLVE_DIALECT_ALIASES",,21_V3_Dialect_Surface/NATIVE_PARSER_NORMALIZATION_AND_REJECTION_MATRIX.md,Unknown prepared statement
N-020,FG_DDL_SQL,"CREATE VIEW v1 WITH (x=1) AS SELECT 1;",,REJECT,E_CLAUSE_CONFLICT,"TR_CASE_NORMALIZE_IDENTIFIERS|TR_RESOLVE_DIALECT_ALIASES",,21_V3_Dialect_Surface/NATIVE_PARSER_NORMALIZATION_AND_REJECTION_MATRIX.md,WITH forbidden for plain view
N-021,FG_DDL_SQL,"CREATE FUNCTION f1() AS BEGIN RETURN 1; END;",,REJECT,E_CLAUSE_REQUIRED_MISSING,"TR_CASE_NORMALIZE_IDENTIFIERS|TR_RESOLVE_DIALECT_ALIASES",,21_V3_Dialect_Surface/NATIVE_PARSER_NORMALIZATION_AND_REJECTION_MATRIX.md,Function missing RETURNS
N-022,FG_DDL_SQL,"CREATE PROCEDURE p1() RETURNS INT AS BEGIN END;",,REJECT,E_CLAUSE_CONFLICT,"TR_CASE_NORMALIZE_IDENTIFIERS|TR_RESOLVE_DIALECT_ALIASES",,21_V3_Dialect_Surface/NATIVE_PARSER_NORMALIZATION_AND_REJECTION_MATRIX.md,Procedure RETURNS conflict
N-023,FG_DDL_SQL,"CREATE POLICY pol USING (id > 0);",,REJECT,E_CLAUSE_REQUIRED_MISSING,"TR_CASE_NORMALIZE_IDENTIFIERS|TR_RESOLVE_DIALECT_ALIASES",,21_V3_Dialect_Surface/NATIVE_PARSER_NORMALIZATION_AND_REJECTION_MATRIX.md,Policy missing ON clause
N-024,FG_PSQL,"BEGIN DECLARE x INT; SET x=1; DECLARE y INT; END",,REJECT,E_CLAUSE_ORDER_INVALID,"TR_CASE_NORMALIZE_IDENTIFIERS|TR_RESOLVE_DIALECT_ALIASES",,21_V3_Dialect_Surface/NATIVE_PARSER_NORMALIZATION_AND_REJECTION_MATRIX.md,Late declaration rejected
N-025,FG_PSQL,"BEGIN DECLARE x INT; DECLARE x INT; END",,REJECT,E_CLAUSE_DUPLICATE,"TR_CASE_NORMALIZE_IDENTIFIERS|TR_RESOLVE_DIALECT_ALIASES",,21_V3_Dialect_Surface/NATIVE_PARSER_NORMALIZATION_AND_REJECTION_MATRIX.md,Duplicate variable rejected
N-026,FG_ADMIN,"VALIDATE RESOURCE BUNDLE not-a-uuid;",,REJECT,E_LITERAL_INVALID,"TR_CASE_NORMALIZE_IDENTIFIERS|TR_RESOLVE_DIALECT_ALIASES|TR_NORMALIZE_LITERAL_TYPES",,21_V3_Dialect_Surface/NATIVE_PARSER_NORMALIZATION_AND_REJECTION_MATRIX.md,Bundle UUID parse failure
N-027,FG_ADMIN,"SET CONFIG x = 1 SCOPE universe;",,REJECT,CONFIG_SCOPE_INVALID,"TR_CASE_NORMALIZE_IDENTIFIERS|TR_RESOLVE_DIALECT_ALIASES",,21_V3_Dialect_Surface/NATIVE_PARSER_NORMALIZATION_AND_REJECTION_MATRIX.md,Unknown scope rejected
N-028,FG_CLUSTER_CONTROL,"START PARSER POOL ALL;",,REJECT,FEATURE_NOT_REGISTERED,"TR_CASE_NORMALIZE_IDENTIFIERS|TR_RESOLVE_DIALECT_ALIASES",,21_V3_Dialect_Surface/NATIVE_PARSER_NORMALIZATION_AND_REJECTION_MATRIX.md,Unknown verb rejected
