row_id,workstream,slice,task_id,title,owner,sprint,status,depends_on,parser_emitter_executor_touched_in_cycle,test_gate,evidence_artifact,report_issue_to_user
23,clickhouse,E2,ENG-CLICKHOUSE-002,Native test baseline for clickhouse,agent-clickhouse,P6-S1/W2,blocked,ENG-CLICKHOUSE-001,parser:no|emitter:no|executor:no,ENG-CLICKHOUSE-GATE-02,artifacts/baseline/clickhouse/p6s1w2/eng-clickhouse-002-tests.md,yes
24,clickhouse,E3,ENG-CLICKHOUSE-003,Comparison workload execution for clickhouse,agent-clickhouse,P6-S1/W3,blocked,ENG-CLICKHOUSE-002;SB-006,parser:no|emitter:no|executor:no,ENG-CLICKHOUSE-GATE-03,artifacts/baseline/clickhouse/p6s1w3/eng-clickhouse-003-compare.md,yes
25,clickhouse,E4,ENG-CLICKHOUSE-004,Performance baseline and report for clickhouse,agent-clickhouse,P6-S1/W3,blocked,ENG-CLICKHOUSE-003,parser:no|emitter:no|executor:no,ENG-CLICKHOUSE-GATE-04,artifacts/baseline/clickhouse/p6s1w3/eng-clickhouse-004-performance.md,yes
26,influxdb,E1,ENG-INFLUXDB-001,Build and startup baseline for influxdb,agent-influxdb,P6-S1/W1,blocked,BASE-001,parser:no|emitter:no|executor:no,ENG-INFLUXDB-GATE-01,artifacts/baseline/influxdb/p6s1w1/eng-influxdb-001-build.md,yes
27,influxdb,E2,ENG-INFLUXDB-002,Native test baseline for influxdb,agent-influxdb,P6-S1/W2,blocked,ENG-INFLUXDB-001,parser:no|emitter:no|executor:no,ENG-INFLUXDB-GATE-02,artifacts/baseline/influxdb/p6s1w2/eng-influxdb-002-tests.md,yes
28,influxdb,E3,ENG-INFLUXDB-003,Comparison workload execution for influxdb,agent-influxdb,P6-S1/W3,blocked,ENG-INFLUXDB-002;SB-006,parser:no|emitter:no|executor:no,ENG-INFLUXDB-GATE-03,artifacts/baseline/influxdb/p6s1w3/eng-influxdb-003-compare.md,yes
29,influxdb,E4,ENG-INFLUXDB-004,Performance baseline and report for influxdb,agent-influxdb,P6-S1/W3,blocked,ENG-INFLUXDB-003,parser:no|emitter:no|executor:no,ENG-INFLUXDB-GATE-04,artifacts/baseline/influxdb/p6s1w3/eng-influxdb-004-performance.md,yes
30,milvus,E1,ENG-MILVUS-001,Build and startup baseline for milvus,agent-milvus,P6-S1/W1,blocked,BASE-001,parser:no|emitter:no|executor:no,ENG-MILVUS-GATE-01,artifacts/baseline/milvus/p6s1w1/eng-milvus-001-build.md,yes
31,milvus,E2,ENG-MILVUS-002,Native test baseline for milvus,agent-milvus,P6-S1/W2,blocked,ENG-MILVUS-001,parser:no|emitter:no|executor:no,ENG-MILVUS-GATE-02,artifacts/baseline/milvus/p6s1w2/eng-milvus-002-tests.md,yes
32,milvus,E3,ENG-MILVUS-003,Comparison workload execution for milvus,agent-milvus,P6-S1/W3,blocked,ENG-MILVUS-002;SB-006,parser:no|emitter:no|executor:no,ENG-MILVUS-GATE-03,artifacts/baseline/milvus/p6s1w3/eng-milvus-003-compare.md,yes
33,milvus,E4,ENG-MILVUS-004,Performance baseline and report for milvus,agent-milvus,P6-S1/W3,blocked,ENG-MILVUS-003,parser:no|emitter:no|executor:no,ENG-MILVUS-GATE-04,artifacts/baseline/milvus/p6s1w3/eng-milvus-004-performance.md,yes
34,neo4j,E1,ENG-NEO4J-001,Build and startup baseline for neo4j,agent-neo4j,P6-S1/W1,blocked,BASE-001,parser:no|emitter:no|executor:no,ENG-NEO4J-GATE-01,artifacts/baseline/neo4j/p6s1w1/eng-neo4j-001-build.md,yes
35,neo4j,E2,ENG-NEO4J-002,Native test baseline for neo4j,agent-neo4j,P6-S1/W2,blocked,ENG-NEO4J-001,parser:no|emitter:no|executor:no,ENG-NEO4J-GATE-02,artifacts/baseline/neo4j/p6s1w2/eng-neo4j-002-tests.md,yes
36,neo4j,E3,ENG-NEO4J-003,Comparison workload execution for neo4j,agent-neo4j,P6-S1/W3,blocked,ENG-NEO4J-002;SB-006,parser:no|emitter:no|executor:no,ENG-NEO4J-GATE-03,artifacts/baseline/neo4j/p6s1w3/eng-neo4j-003-compare.md,yes
37,neo4j,E4,ENG-NEO4J-004,Performance baseline and report for neo4j,agent-neo4j,P6-S1/W3,blocked,ENG-NEO4J-003,parser:no|emitter:no|executor:no,ENG-NEO4J-GATE-04,artifacts/baseline/neo4j/p6s1w3/eng-neo4j-004-performance.md,yes
38,redis,E1,ENG-REDIS-001,Build and startup baseline for redis,agent-redis,P6-S1/W1,done,BASE-001,parser:no|emitter:no|executor:no,ENG-REDIS-GATE-01,artifacts/baseline/redis/p6s1w1/eng-redis-001-build.md,no
39,redis,E2,ENG-REDIS-002,Native test baseline for redis,agent-redis,P6-S1/W2,blocked,ENG-REDIS-001,parser:no|emitter:no|executor:no,ENG-REDIS-GATE-02,artifacts/baseline/redis/p6s1w2/eng-redis-002-tests.md,yes
40,redis,E3,ENG-REDIS-003,Comparison workload execution for redis,agent-redis,P6-S1/W3,blocked,ENG-REDIS-002;SB-006,parser:no|emitter:no|executor:no,ENG-REDIS-GATE-03,artifacts/baseline/redis/p6s1w3/eng-redis-003-compare.md,yes
41,redis,E4,ENG-REDIS-004,Performance baseline and report for redis,agent-redis,P6-S1/W3,blocked,ENG-REDIS-003,parser:no|emitter:no|executor:no,ENG-REDIS-GATE-04,artifacts/baseline/redis/p6s1w3/eng-redis-004-performance.md,yes
42,mongodb,E1,ENG-MONGODB-001,Build and startup baseline for mongodb,agent-mongodb,P6-S1/W1,blocked,BASE-001,parser:no|emitter:no|executor:no,ENG-MONGODB-GATE-01,artifacts/baseline/mongodb/p6s1w1/eng-mongodb-001-build.md,yes
43,mongodb,E2,ENG-MONGODB-002,Native test baseline for mongodb,agent-mongodb,P6-S1/W2,blocked,ENG-MONGODB-001,parser:no|emitter:no|executor:no,ENG-MONGODB-GATE-02,artifacts/baseline/mongodb/p6s1w2/eng-mongodb-002-tests.md,yes
44,mongodb,E3,ENG-MONGODB-003,Comparison workload execution for mongodb,agent-mongodb,P6-S1/W3,blocked,ENG-MONGODB-002;SB-006,parser:no|emitter:no|executor:no,ENG-MONGODB-GATE-03,artifacts/baseline/mongodb/p6s1w3/eng-mongodb-003-compare.md,yes
45,mongodb,E4,ENG-MONGODB-004,Performance baseline and report for mongodb,agent-mongodb,P6-S1/W3,blocked,ENG-MONGODB-003,parser:no|emitter:no|executor:no,ENG-MONGODB-GATE-04,artifacts/baseline/mongodb/p6s1w3/eng-mongodb-004-performance.md,yes
46,cassandra,E1,ENG-CASSANDRA-001,Build and startup baseline for cassandra,agent-cassandra,P6-S1/W1,done,BASE-001,parser:no|emitter:no|executor:no,ENG-CASSANDRA-GATE-01,artifacts/baseline/cassandra/p6s1w1/eng-cassandra-001-build.md,no
47,cassandra,E2,ENG-CASSANDRA-002,Native test baseline for cassandra,agent-cassandra,P6-S1/W2,blocked,ENG-CASSANDRA-001,parser:no|emitter:no|executor:no,ENG-CASSANDRA-GATE-02,artifacts/baseline/cassandra/p6s1w2/eng-cassandra-002-tests.md,yes
48,cassandra,E3,ENG-CASSANDRA-003,Comparison workload execution for cassandra,agent-cassandra,P6-S1/W3,blocked,ENG-CASSANDRA-002;SB-006,parser:no|emitter:no|executor:no,ENG-CASSANDRA-GATE-03,artifacts/baseline/cassandra/p6s1w3/eng-cassandra-003-compare.md,yes
49,cassandra,E4,ENG-CASSANDRA-004,Performance baseline and report for cassandra,agent-cassandra,P6-S1/W3,blocked,ENG-CASSANDRA-003,parser:no|emitter:no|executor:no,ENG-CASSANDRA-GATE-04,artifacts/baseline/cassandra/p6s1w3/eng-cassandra-004-performance.md,yes
50,mariadb,E1,ENG-MARIADB-001,Build and startup baseline for mariadb,agent-mariadb,P6-S1/W1,blocked,BASE-001,parser:no|emitter:no|executor:no,ENG-MARIADB-GATE-01,artifacts/baseline/mariadb/p6s1w1/eng-mariadb-001-build.md,yes
51,mariadb,E2,ENG-MARIADB-002,Native test baseline for mariadb,agent-mariadb,P6-S1/W2,blocked,ENG-MARIADB-001,parser:no|emitter:no|executor:no,ENG-MARIADB-GATE-02,artifacts/baseline/mariadb/p6s1w2/eng-mariadb-002-tests.md,yes
52,mariadb,E3,ENG-MARIADB-003,Comparison workload execution for mariadb,agent-mariadb,P6-S1/W3,blocked,ENG-MARIADB-002;SB-006,parser:no|emitter:no|executor:no,ENG-MARIADB-GATE-03,artifacts/baseline/mariadb/p6s1w3/eng-mariadb-003-compare.md,yes
53,mariadb,E4,ENG-MARIADB-004,Performance baseline and report for mariadb,agent-mariadb,P6-S1/W3,blocked,ENG-MARIADB-003,parser:no|emitter:no|executor:no,ENG-MARIADB-GATE-04,artifacts/baseline/mariadb/p6s1w3/eng-mariadb-004-performance.md,yes
54,postgresql,E1,ENG-POSTGRESQL-001,Build and startup baseline for postgresql,agent-postgresql,P6-S1/W1,done,BASE-001,parser:no|emitter:no|executor:no,ENG-POSTGRESQL-GATE-01,artifacts/baseline/postgresql/p6s1w1/eng-postgresql-001-build.md,no
55,postgresql,E2,ENG-POSTGRESQL-002,Native test baseline for postgresql,agent-postgresql,P6-S1/W2,done,ENG-POSTGRESQL-001,parser:no|emitter:no|executor:no,ENG-POSTGRESQL-GATE-02,artifacts/baseline/postgresql/p6s1w2/eng-postgresql-002-tests.md,no
56,postgresql,E3,ENG-POSTGRESQL-003,Comparison workload execution for postgresql,agent-postgresql,P6-S1/W3,blocked,ENG-POSTGRESQL-002;SB-006,parser:no|emitter:no|executor:no,ENG-POSTGRESQL-GATE-03,artifacts/baseline/postgresql/p6s1w3/eng-postgresql-003-compare.md,yes
57,postgresql,E4,ENG-POSTGRESQL-004,Performance baseline and report for postgresql,agent-postgresql,P6-S1/W3,blocked,ENG-POSTGRESQL-003,parser:no|emitter:no|executor:no,ENG-POSTGRESQL-GATE-04,artifacts/baseline/postgresql/p6s1w3/eng-postgresql-004-performance.md,yes
58,firebird,E1,ENG-FIREBIRD-001,Build and startup baseline for firebird,agent-firebird,P6-S1/W1,blocked,BASE-001,parser:no|emitter:no|executor:no,ENG-FIREBIRD-GATE-01,artifacts/baseline/firebird/p6s1w1/eng-firebird-001-build.md,yes
59,firebird,E2,ENG-FIREBIRD-002,Native test baseline for firebird,agent-firebird,P6-S1/W2,blocked,ENG-FIREBIRD-001,parser:no|emitter:no|executor:no,ENG-FIREBIRD-GATE-02,artifacts/baseline/firebird/p6s1w2/eng-firebird-002-tests.md,yes
60,firebird,E3,ENG-FIREBIRD-003,Comparison workload execution for firebird,agent-firebird,P6-S1/W3,blocked,ENG-FIREBIRD-002;SB-006,parser:no|emitter:no|executor:no,ENG-FIREBIRD-GATE-03,artifacts/baseline/firebird/p6s1w3/eng-firebird-003-compare.md,yes
61,firebird,E4,ENG-FIREBIRD-004,Performance baseline and report for firebird,agent-firebird,P6-S1/W3,blocked,ENG-FIREBIRD-003,parser:no|emitter:no|executor:no,ENG-FIREBIRD-GATE-04,artifacts/baseline/firebird/p6s1w3/eng-firebird-004-performance.md,yes
62,mysql,E1,ENG-MYSQL-001,Build and startup baseline for mysql,agent-mysql,P6-S1/W1,done,BASE-001,parser:no|emitter:no|executor:no,ENG-MYSQL-GATE-01,artifacts/baseline/mysql/p6s1w1/eng-mysql-001-build.md,no
63,mysql,E2,ENG-MYSQL-002,Native test baseline for mysql,agent-mysql,P6-S1/W2,done,ENG-MYSQL-001,parser:no|emitter:no|executor:no,ENG-MYSQL-GATE-02,artifacts/baseline/mysql/p6s1w2/eng-mysql-002-tests.md,no
64,mysql,E3,ENG-MYSQL-003,Comparison workload execution for mysql,agent-mysql,P6-S1/W3,blocked,ENG-MYSQL-002;SB-006,parser:no|emitter:no|executor:no,ENG-MYSQL-GATE-03,artifacts/baseline/mysql/p6s1w3/eng-mysql-003-compare.md,yes
65,mysql,E4,ENG-MYSQL-004,Performance baseline and report for mysql,agent-mysql,P6-S1/W3,blocked,ENG-MYSQL-003,parser:no|emitter:no|executor:no,ENG-MYSQL-GATE-04,artifacts/baseline/mysql/p6s1w3/eng-mysql-004-performance.md,yes
