engine,evidence_basis,client_visible_surface_class,primary_shape,known_formats_or_profiles,reverse_request_mapping_rule,from_runtime_plan_render_strategy,confidence,notes
InfluxDB,influxdb3_query_executor/src/query_planner.rs,INTERNAL_PLAN_OBJECTS_ONLY,logical_and_physical_plan_objects,internal_planner_only,"Do not spec donor-visible explain shape yet","Possible future renderer over physical plan objects after donor proof exists",medium,"Current sample proves planning objects, not a stable client-visible explain output"
MariaDB,sql/sql_explain.cc authority,MYSQL_FAMILY_ROWSET_OR_HIERARCHICAL,rowset_explain,traditional_and_hierarchical_family,"Lower donor EXPLAIN like MySQL-family syntax","Render RuntimePlan into MariaDB-style rowset or hierarchical output",medium,"Family classification from authority path"
Milvus,internal/proxy sampled plan creation sites,INTERNAL_SERIALIZED_PLAN_ONLY,protobuf_plan_objects,internal_query_plan,"Do not claim user-facing explain contract without stronger donor proof","Potential future renderer over internal plan protobufs if donor contract is defined",medium,"Current sample proves internal plan creation"
MongoDB,src/mongo/db/query/explain.cpp and plan_explainer_impl.cpp,STRUCTURED_BSON_EXPLAIN,bson_or_json_tree,winning_plan|rejected_plans|stats_tree,"Lower donor explain verbosity to object-tree render profile","Render RuntimePlan into BSON/JSON explain documents",high,"Chosen and rejected path data map naturally"
MySQL,sql/opt_explain.cc and opt_explain_format.h,ROWSET_EXPLAIN_WITH_RICH_INTERNALS,traditional_explain_rowset,traditional|hierarchical_internal_family,"Lower donor EXPLAIN syntax to MySQL rowset profile","Render RuntimePlan directly into MySQL EXPLAIN rows",high,"Current ScratchBird adapter still uses text scraping and should be replaced"
Neo4j,community/graphdb-api ExecutionPlanDescription,STRUCTURED_OPERATOR_TREE,operator_tree_with_arguments_and_stats,plan|profile_statistics,"Lower donor EXPLAIN or PROFILE syntax to operator-tree render profile","Render RuntimePlan into operator tree plus profiler statistics",high,"Rows DB hits cache stats and time are explicit"
OpenSearch,ProfileResult and explain-related search sources,STRUCTURED_JSON_TREE,profile_tree_and_explanation_tree,PROFILE|EXPLAIN_JSON,"Lower donor request to explain-vs-profile mode","Render RuntimePlan into query explanation or profile trees",high,"Requires separate modes for explanation vs profiling"
PostgreSQL,src/backend/commands/explain.c,STRUCTURED_TREE_MULTI_FORMAT,grouped_property_tree,TEXT_and_non_text_formats,"Lower donor EXPLAIN options to ScratchBird tree render profile","Render RuntimePlan into PostgreSQL-style grouped explain tree",high,"Property-rich explain family"
Redis,core server sampled source,NOT_PROVEN_FROM_SAMPLED_LOCAL_SOURCE,unknown,unknown,"Do not invent core Redis plan output","Follow-up reference work required",low,"No core SQL optimizer or explain surface proved in sampled server source"
SQLite,reference packet marks donor files missing,EVIDENCE_GAP,missing_local_source,missing_local_source,"No parser plan spec until donor source is present locally","Follow-up reference work required",low,"Explicit local donor gap"
TiDB,pkg/util/plancodec/binary_plan_decode.go,ROWSET_AND_TREE_FROM_ENCODED_PLAN,operator_table_or_tree,Brief|ROW|PlanTree|Verbose,"Lower donor explain format to row or tree profile","Render RuntimePlan and actuals into TiDB operator tables or tree rows",high,"Strong row-oriented analyze surface"
Vitess,go/vt/vtgate/engine/plan_description.go,JSON_PRIMITIVE_TREE,serializable_primitive_tree,JSON_primitive_description,"Lower donor explain to primitive-description profile","Render RuntimePlan into PrimitiveDescription JSON",high,"Tree is already explicitly serializable"
XTDB,xtql plan tests,LOGICAL_FORM_TREE,edn_like_logical_forms,logical_plan_forms,"Lower donor plan request to logical-form profile","Render RuntimePlan or logical rewrite state into XTDB-style structural forms",medium,"Current local proof is through plan tests"
YugabyteDB,src/postgres/src/backend/commands/explain.c,POSTGRESQL_FAMILY_STRUCTURED_TREE,grouped_property_tree,postgresql_family_formats,"Lower donor EXPLAIN as PostgreSQL-family request","Render RuntimePlan into PostgreSQL-family grouped explain tree",high,"Authority is PostgreSQL-derived explain implementation"
