feature_id,feature_family,sql_server,azure_sql_database,azure_sql_managed_instance,current_scratchbird_generic_spec,current_scratchbird_generic_impl,current_sqlserver_azure_family_spec,current_sqlserver_azure_family_impl,gap_class,current_scratchbird_evidence,official_microsoft_evidence,gap_summary
14,Resource Governor workload groups and classifiers,yes,no,yes,yes,no,no,no,GENERIC_SPEC_ONLY_FAMILY_GAP,"docs/specifications/38_Workload_Governance_and_Parallelism/BETA2_HARD_MULTI_TENANT_ISOLATION_QUOTA_AND_QOS_MODEL.md; docs/specifications/38_Workload_Governance_and_Parallelism/WORKLOAD_CLASS_RESOLUTION_AND_ADMISSION_BINDING_MODEL.md","https://learn.microsoft.com/en-us/sql/relational-databases/resource-governor/resource-governor?view=sql-server-ver17; https://learn.microsoft.com/en-us/azure/azure-sql/database/features-comparison?view=azuresql","Generic quota and classifier canon exists, but SQL Server workload groups, pools, classifier functions, and DMV compatibility are missing."
15,Dynamic Data Masking,yes,yes,yes,yes,yes,no,no,GENERIC_IMPLEMENTED_FAMILY_GAP,"docs/specifications/19_Security_Model/ROW_COLUMN_DOMAIN_MASKING_AND_SANDBOX_SECURITY_MODEL.md; include/scratchbird/core/data_masking.h; include/scratchbird/parser/ast_v3.h","https://learn.microsoft.com/en-us/sql/relational-databases/security/dynamic-data-masking?view=sql-server-ver17; https://learn.microsoft.com/en-us/azure/azure-sql/database/features-comparison?view=azuresql","ScratchBird has generic masking substrate, but SQL Server DDM syntax, catalog exposure, and donor-specific semantics are not mapped."
16,Row-Level Security,yes,yes,yes,yes,yes,no,no,GENERIC_IMPLEMENTED_FAMILY_GAP,"docs/specifications/19_Security_Model/ROW_LEVEL_SECURITY_POLICY_AND_FORCE_RLS_MODEL.md; docs/specifications/28_Parser_Implementations/SECURITY_DCL_RLS_AND_DOMAIN_LOWERING_MODEL.md","https://learn.microsoft.com/en-us/sql/relational-databases/security/row-level-security?view=sql-server-ver17; https://learn.microsoft.com/en-us/azure/azure-sql/database/features-comparison?view=azuresql","Generic RLS exists, but SQL Server security policy objects, catalog views, and parser-family compatibility are not covered."
17,In-Memory OLTP memory-optimized tables and natively compiled modules,yes,yes,yes,no,partial,no,no,PLACEHOLDER_ONLY,"include/scratchbird/catalog/mssql_catalog.h is_memory_optimized durability fields","https://learn.microsoft.com/en-us/sql/relational-databases/in-memory-oltp/overview-and-usage-scenarios?view=sql-server-ver17; https://learn.microsoft.com/en-us/azure/azure-sql/database/features-comparison?view=azuresql","Only catalog placeholders exist; no memory-optimized table runtime, hash index family, or native compilation surface is covered."
18,Columnstore family parity,yes,yes,yes,yes,yes,no,no,GENERIC_IMPLEMENTED_FAMILY_GAP,"docs/specifications/18_Index_Framework/COLUMNSTORE_SPEC.md; docs/specifications/18_Index_Framework/BETA2_OLAP_STORAGE_SEGMENT_PRUNING_VECTOR_SCAN_AND_CUBE_ACCELERATION_MODEL.md; src/core/columnstore.cpp","https://learn.microsoft.com/en-us/sql/database-engine/sql-database-engine?view=sql-server-ver17; https://learn.microsoft.com/en-us/azure/azure-sql/database/features-comparison?view=azuresql","ScratchBird has generic columnstore, but SQL Server clustered or nonclustered columnstore behavior, DMVs, and T-SQL surface are not specified."
19,Replication snapshot transactional and merge family,yes,partial,yes,no,no,no,no,EXPLICIT_BOUNDARY_GAP,"docs/specifications/29_Listener_and_Server_Orchestration/NORMATIVE_LISTENER_ONE_WAY_AND_BIDIRECTIONAL_REPLICATION_CHECKLIST.md","https://learn.microsoft.com/en-us/sql/relational-databases/replication/sql-server-replication?view=sql-server-ver17; https://learn.microsoft.com/en-us/azure/azure-sql/database/features-comparison?view=azuresql","Current canon explicitly says replication runtime is not implemented, so SQL Server and Azure replication surfaces remain open gaps."
20,Linked servers OPENQUERY and OPENDATASOURCE family,yes,no,yes,yes,no,no,no,GENERIC_SPEC_ONLY_FAMILY_GAP,"docs/specifications/17_Functions_and_Procedures/BETA2_ODBC_DATASOURCE_CRUD_AND_REMOTE_SQL_UDR_MODEL.md; docs/specifications/36_Query_Rewrite_and_Planner/BETA2_CROSS_MACHINE_QUERY_DECOMPOSITION_DATA_MOTION_AND_RESULT_STITCHING_MODEL.md","https://learn.microsoft.com/en-us/sql/relational-databases/linked-servers/linked-servers-database-engine?view=sql-server-ver17; https://learn.microsoft.com/en-us/azure/azure-sql/database/features-comparison?view=azuresql","ScratchBird has connector and distributed-query canon, but no linked-server object model or SQL Server remote-query syntax compatibility."
21,Distributed transactions MS DTC and elastic transactions,yes,partial,yes,no,no,no,no,FULL_GAP,"no dedicated DTC or elastic transaction canon detected","https://learn.microsoft.com/en-us/azure/azure-sql/database/features-comparison?view=azuresql","Neither SQL Server MS DTC semantics nor Azure elastic transaction semantics are covered."
22,Database Mail,yes,no,yes,no,no,no,no,FULL_GAP,"no current Database Mail canon or runtime detected","https://learn.microsoft.com/en-us/sql/relational-databases/database-mail/database-mail?view=sql-server-ver17; https://learn.microsoft.com/en-us/azure/azure-sql/database/features-comparison?view=azuresql","No mail profile, queue, or admin surface exists."
23,SQL Server Agent and Azure Elastic Jobs family,yes,no,yes,no,no,no,no,FULL_GAP,"no SQL Server Agent or Elastic Jobs canon detected","https://learn.microsoft.com/en-us/ssms/agent/sql-server-agent?view=sql-server-ver17; https://learn.microsoft.com/en-us/azure/azure-sql/database/features-comparison?view=azuresql","No SQL Server Agent compatibility or Azure SQL Database Elastic Jobs compatibility is currently specified."
24,Always On availability groups failover groups and geo replicas,yes,yes,yes,yes,no,no,no,GENERIC_SPEC_ONLY_FAMILY_GAP,"docs/specifications/25_Runtime_Modes/BETA2_CLUSTER_HA_DR_AND_FAILOVER_MODEL.md; docs/specifications/39_Backup_Restore_and_Bulk_Data_Paths/BETA2_PITR_LOG_RETENTION_AND_REHEARSAL_MODEL.md; docs/specifications/42_Failure_Model_and_Fault_Tolerance/BETA2_FAILOVER_SESSION_CONTINUITY_AND_RECOVERY_CLASSIFICATION_MODEL.md","https://learn.microsoft.com/en-us/sql/database-engine/availability-groups/windows/overview-of-always-on-availability-groups-sql-server?view=sql-server-ver17; https://learn.microsoft.com/en-us/azure/azure-sql/database/failover-group-sql-db?view=azuresql; https://learn.microsoft.com/en-us/azure/azure-sql/database/active-geo-replication-overview?view=azuresql","Generic HA and failover canon exists, but SQL Server AG listeners, read-intent routing, and Azure failover-group or geo-replication family semantics are not specified."
25,Transparent Data Encryption,yes,yes,yes,yes,no,no,no,GENERIC_SPEC_ONLY_FAMILY_GAP,"docs/specifications/19_Security_Model/BETA2_TRANSPARENT_AT_REST_ENCRYPTION_AND_REKEY_MODEL.md","https://learn.microsoft.com/en-us/sql/database-engine/sql-database-engine?view=sql-server-ver17; https://learn.microsoft.com/en-us/azure/azure-sql/database/features-comparison?view=azuresql","Generic TDE canon exists, but SQL Server and Azure SQL DDL, catalogs, and operational semantics are not mapped."
26,Always Encrypted and secure enclaves,yes,yes,yes,yes,no,no,no,GENERIC_SPEC_ONLY_FAMILY_GAP,"docs/specifications/19_Security_Model/BETA2_PROTECTED_QUERY_ENCRYPTION_AND_ENCLAVE_EXECUTION_MODEL.md","https://learn.microsoft.com/en-us/sql/database-engine/sql-database-engine?view=sql-server-ver17; https://learn.microsoft.com/en-us/azure/azure-sql/database/features-comparison?view=azuresql","Generic protected-query encryption canon exists, but SQL Server Always Encrypted syntax, drivers, keys, and enclave behavior are not mapped."
27,Microsoft Entra authentication and login semantics,yes,yes,yes,partial,partial,no,no,GENERIC_SPEC_ONLY_FAMILY_GAP,"docs/specifications/19_Security_Model/AUTH_PLUGIN_METHOD_SPECIFICATIONS.md; docs/specifications/30_Client_Tooling/LINUX_SINGLE_FILE_INSTALLER_WIZARD_AND_RELEASE_STAGE_MODEL.md","https://learn.microsoft.com/en-us/sql/database-engine/sql-database-engine?view=sql-server-ver17; https://learn.microsoft.com/en-us/azure/azure-sql/database/features-comparison?view=azuresql; https://learn.microsoft.com/en-us/azure/azure-sql/database/authentication-aad-overview?view=azuresql","ScratchBird has generic auth-plugin architecture, but SQL Server or Azure login flows, token semantics, and catalog behavior are not specified."
28,Elastic query cross-database queries and remote names,yes,yes,yes,yes,no,no,no,GENERIC_SPEC_ONLY_FAMILY_GAP,"docs/specifications/36_Query_Rewrite_and_Planner/BETA2_CROSS_MACHINE_QUERY_DECOMPOSITION_DATA_MOTION_AND_RESULT_STITCHING_MODEL.md; docs/specifications/17_Functions_and_Procedures/BETA2_ODBC_DATASOURCE_CRUD_AND_REMOTE_SQL_UDR_MODEL.md","https://learn.microsoft.com/en-us/azure/azure-sql/database/features-comparison?view=azuresql","Generic distributed-query canon exists, but Elastic Query and SQL Server three-part-name semantics are not covered."
29,Azure elastic pools,no,yes,no,no,no,no,no,FULL_GAP,"no elastic-pool canon detected in current tree","https://learn.microsoft.com/en-us/azure/azure-sql/database/elastic-pool-overview?view=azuresql","No Azure SQL elastic pool service model or compatibility behavior is specified."
30,Azure serverless compute tier,no,yes,no,no,no,no,no,FULL_GAP,"cloud support scope mentions serverless operation but no detailed canon","https://learn.microsoft.com/en-us/azure/azure-sql/database/serverless-tier-overview?view=azuresql","No Azure SQL serverless capacity, pause-resume, or billing-class behavior is covered."
31,Azure Hyperscale tier,no,yes,no,no,no,no,no,FULL_GAP,"no hyperscale-specific canon detected","https://learn.microsoft.com/en-us/azure/azure-sql/database/service-tier-hyperscale?view=azuresql","No Azure SQL Hyperscale storage, page server, or replica semantics are covered."
32,Azure automatic tuning,no,yes,no,yes,no,no,no,GENERIC_SPEC_ONLY_FAMILY_GAP,"docs/specifications/36_Query_Rewrite_and_Planner/COMMERCIAL_PLAN_STORE_BASELINES_AND_REGRESSION_GOVERNANCE_BETA2_MODEL.md; docs/specifications/36_Query_Rewrite_and_Planner/ADAPTIVE_QUERY_PROCESSING_MEMORY_GRANT_AND_INTERLEAVED_EXECUTION_BETA2_MODEL.md","https://learn.microsoft.com/en-us/azure/azure-sql/database/automatic-tuning-overview?view=azuresql; https://learn.microsoft.com/en-us/azure/azure-sql/database/features-comparison?view=azuresql","ScratchBird has generic plan-store and adaptive-planning canon, but Azure automatic tuning policies and managed behaviors are not specified."
33,Machine Learning Services external script execution,yes,no,yes,partial,no,no,no,GENERIC_SPEC_ONLY_FAMILY_GAP,"docs/specifications/17_Functions_and_Procedures/BETA2_PYTHON_INSPIRED_UDR_PROGRAM_AND_STAGING_MODEL.md; docs/specifications/17_Functions_and_Procedures/BETA2_DOMAIN_FINANCE_SCIENCE_AND_EDUCATION_UDR_PROGRAM_MODEL.md","https://learn.microsoft.com/en-us/azure/azure-sql/database/features-comparison?view=azuresql","ScratchBird has strong analytical UDR canon, but not SQL Server or Managed Instance Machine Learning Services compatibility."
34,Query Notifications and Event Notifications,yes,no,no,no,no,no,no,FULL_GAP,"no query or event notification canon detected","https://learn.microsoft.com/en-us/azure/azure-sql/database/features-comparison?view=azuresql","Notification subsystems are absent from current ScratchBird canon and implementation."
35,Windows authentication integrated auth and SQL login token semantics,yes,no,yes,partial,partial,no,no,GENERIC_SPEC_ONLY_FAMILY_GAP,"include/scratchbird/security/kerberos_auth.h; docs/specifications/19_Security_Model/AUTH_PLUGIN_METHOD_SPECIFICATIONS.md","https://learn.microsoft.com/en-us/azure/azure-sql/database/features-comparison?view=azuresql; https://learn.microsoft.com/en-us/sql/database-engine/sql-database-engine?view=sql-server-ver17","Generic auth plugins and Kerberos substrate exist, but SQL Server integrated authentication and login-token semantics are not covered."
