"native_family_id","native_capability_family","microsoft_features_collapsed","current_scratchbird_spec_status","current_scratchbird_impl_status","classification","open_reference_model","key_scratchbird_evidence","recommended_native_direction"
"11","External data virtualization and remote federation","PolyBase linked servers OPENQUERY OPENDATASOURCE Elastic Query","strong generic canon exists","minimal or no runtime delivery","IMPLEMENT_EXISTING_GENERIC_SPEC","PostgreSQL FDW","docs/specifications/17_Functions_and_Procedures/BETA2_ODBC_DATASOURCE_CRUD_AND_REMOTE_SQL_UDR_MODEL.md; docs/specifications/36_Query_Rewrite_and_Planner/BETA2_CROSS_MACHINE_QUERY_DECOMPOSITION_DATA_MOTION_AND_RESULT_STITCHING_MODEL.md; docs/specifications/39_Backup_Restore_and_Bulk_Data_Paths/BETA2_OPEN_TABLE_FORMAT_AND_OBJECT_STORE_TABLE_MODEL.md","Implement the existing native federation stack instead of building Microsoft-specific remote query behavior."
"12","Transactional blob and file namespace tables","FILESTREAM FileTable","object-store and external-table canon exists but no transactional file namespace model","none","NEW_NATIVE_SPEC_REQUIRED","ScratchBird object-store canon; new native spec required","docs/specifications/39_Backup_Restore_and_Bulk_Data_Paths/BETA2_OPEN_TABLE_FORMAT_AND_OBJECT_STORE_TABLE_MODEL.md; docs/specifications/24_Catalog_Model_and_Virtual_Overlays/BETA2_EXTERNAL_TABLE_MANIFEST_AND_SNAPSHOT_CATALOG_MODEL.md","Create a native blob namespace table family with path metadata object attachment policy and transactional catalog truth."
"13","Plan store baseline forcing and managed tuning","Query Store Azure automatic tuning","strong generic canon exists","none","IMPLEMENT_EXISTING_GENERIC_SPEC","Current ScratchBird plan-store and adaptive-planning canon","docs/specifications/36_Query_Rewrite_and_Planner/COMMERCIAL_PLAN_STORE_BASELINES_AND_REGRESSION_GOVERNANCE_BETA2_MODEL.md; docs/specifications/36_Query_Rewrite_and_Planner/ADAPTIVE_QUERY_PROCESSING_MEMORY_GRANT_AND_INTERLEAVED_EXECUTION_BETA2_MODEL.md","Implement the current native plan store baseline and tuning control plane instead of donor Query Store compatibility."
"14","Workload governance service classes and tenant budgets","Resource Governor elastic pools","strong governance canon exists but service product model is incomplete","none","EXPAND_EXISTING_GENERIC_SPEC","Current ScratchBird tenant isolation and QoS canon","docs/specifications/38_Workload_Governance_and_Parallelism/BETA2_HARD_MULTI_TENANT_ISOLATION_QUOTA_AND_QOS_MODEL.md; docs/specifications/33_Memory_Management/BETA2_TENANT_RESERVATION_AND_ENFORCED_BUDGET_MODEL.md","Expand current quota and service class canon into a coherent tenant pool and workload governance control plane."
"15","Autosuspend and autoscale compute control plane","Azure serverless","cloud scope exists but no complete serverless lifecycle canon","none","EXPAND_EXISTING_GENERIC_SPEC","Current ScratchBird cloud scope and OLTP service class canon","docs/specifications/25_Runtime_Modes/CLOUD_SUPPORT_SCOPE_AND_BETA1_BETA2_PROGRAM_MODEL.md; docs/specifications/25_Runtime_Modes/BETA2_HIGH_PERFORMANCE_OLTP_SERVICE_CLASS_AND_NODE_SPECIALIZATION_MODEL.md","Define autosuspend resume warm-cache protection and billing-policy aware serverless operation as a native service tier."
"16","Replicated topology read scale-out and geo failover","Always On failover groups active geo-replication replication Hyperscale","HA/DR and shard canon exists but replication and geo topology are incomplete","none","EXPAND_EXISTING_GENERIC_SPEC","Current ScratchBird HA DR sharding and distributed query canon","docs/specifications/25_Runtime_Modes/BETA2_CLUSTER_HA_DR_AND_FAILOVER_MODEL.md; docs/specifications/39_Backup_Restore_and_Bulk_Data_Paths/BETA2_PITR_LOG_RETENTION_AND_REHEARSAL_MODEL.md; docs/specifications/25_Runtime_Modes/BETA2_SHARD_PLACEMENT_REBALANCE_SPLIT_MERGE_AND_READ_ROUTING_MODEL.md","Expand current cluster canon into a native replicated topology family with read routing geo placement and active secondary policy."
"17","Hot-row memory-optimized OLTP lane and compiled kernels","In-Memory OLTP memory-optimized tables natively compiled modules","strong high-performance OLTP canon exists but no memory-optimized row family or compiled kernel contract","none","EXPAND_EXISTING_GENERIC_SPEC","H-Store; Silo","docs/specifications/25_Runtime_Modes/BETA2_HIGH_PERFORMANCE_OLTP_SERVICE_CLASS_AND_NODE_SPECIALIZATION_MODEL.md; docs/specifications/36_Query_Rewrite_and_Planner/BETA2_HIGH_PERFORMANCE_OLTP_PLAN_SHAPES_CONTENTION_AVOIDANCE_AND_PREPARED_EXECUTION_MODEL.md","Extend the OLTP Beta 2 program with a native hot-row memory-optimized path and compiled write kernels."
"18","Distributed atomic coordination and cross-resource commit","MS DTC elastic transactions","absent","none","NEW_NATIVE_SPEC_REQUIRED","PostgreSQL two-phase commit; FoundationDB transaction processing","docs/specifications/25_Runtime_Modes/BETA2_CLUSTER_REMOTE_FRAGMENT_EXECUTION_EXCHANGE_AND_ADMISSION_MODEL.md","Create a native distributed commit model covering prepared branches coordinator failover compensation rules and explicit refusal boundaries."
"19","Enterprise identity federation and token auth","Microsoft Entra authentication Windows-integrated authentication","generic auth plugin canon exists but enterprise federation model is incomplete","partial","EXPAND_EXISTING_GENERIC_SPEC","Current ScratchBird auth plugin architecture","docs/specifications/19_Security_Model/AUTH_PLUGIN_METHOD_SPECIFICATIONS.md; docs/specifications/19_Security_Model/SYSARCH_SYSADMIN_AND_CLUSTER_ADMIN_BOOTSTRAP_AUTHORITY_MODEL.md","Expand auth plugins into first-class token and external identity federation with group claim and recovery semantics."
"20","Transparent at-rest encryption and rekey","TDE","fully specified generically","none","IMPLEMENT_EXISTING_GENERIC_SPEC","Current ScratchBird TDE canon","docs/specifications/19_Security_Model/BETA2_TRANSPARENT_AT_REST_ENCRYPTION_AND_REKEY_MODEL.md","Implement the current native at-rest encryption design."
"21","Protected query encryption and enclave execution","Always Encrypted secure enclaves","fully specified generically","none","IMPLEMENT_EXISTING_GENERIC_SPEC","Current ScratchBird protected-query canon","docs/specifications/19_Security_Model/BETA2_PROTECTED_QUERY_ENCRYPTION_AND_ENCLAVE_EXECUTION_MODEL.md","Implement the current native protected-query and enclave model."
"22","Row security and masking","Row-Level Security Dynamic Data Masking","fully specified generically","partial","IMPLEMENT_EXISTING_GENERIC_SPEC","Current ScratchBird security policy canon","docs/specifications/19_Security_Model/ROW_LEVEL_SECURITY_POLICY_AND_FORCE_RLS_MODEL.md; docs/specifications/19_Security_Model/ROW_COLUMN_DOMAIN_MASKING_AND_SANDBOX_SECURITY_MODEL.md","Finish the current native masking and row-security runtime instead of pursuing donor policy objects."
"23","Analytical columnstore and OLAP acceleration","Columnstore","fully specified generically","partial","IMPLEMENT_EXISTING_GENERIC_SPEC","Current ScratchBird columnstore and OLAP canon","docs/specifications/18_Index_Framework/COLUMNSTORE_SPEC.md; docs/specifications/18_Index_Framework/BETA2_OLAP_STORAGE_SEGMENT_PRUNING_VECTOR_SCAN_AND_CUBE_ACCELERATION_MODEL.md","Finish the current native analytical storage program."
