Ticket,Phase,PluginOrScope,Milestone,AcceptanceTests,DependsOn,Status
AUTH-PROD-B09,B,workload_identity,"Full OIDC and SPIFFE trust bundle validation and rotation","AT-B09-01 valid workload identity accepted; AT-B09-02 invalid bundle or subject denied","AUTH-PROD-A01;AUTH-PROD-A04;AUTH-PROD-A05",DONE
AUTH-PROD-B10,B,ident,"Robust IDENT exchange plus spoofing protections","AT-B10-01 trusted CIDR and matching user accepted; AT-B10-02 spoof or mismatch denied","AUTH-PROD-A01;AUTH-PROD-A05",DONE
AUTH-PROD-B11,B,radius,"Real RADIUS client with retry failover and message authenticator checks","AT-B11-01 primary timeout plus secondary success; AT-B11-02 bad secret or reject denied","AUTH-PROD-A01;AUTH-PROD-A04;AUTH-PROD-A05",DONE
AUTH-PROD-B12,B,pam,"Real PAM conversation backend with secure prompt handling","AT-B12-01 allowed service authenticates; AT-B12-02 blocked service denied with policy code","AUTH-PROD-A01;AUTH-PROD-A05",DONE
AUTH-PROD-B13,B,ldap,"LDAP bind search TLS policy and group mapping","AT-B13-01 valid bind and role mapping accepted; AT-B13-02 TLS or policy violation denied","AUTH-PROD-A01;AUTH-PROD-A04;AUTH-PROD-A05",DONE
AUTH-PROD-B14,B,kerberos,"GSSAPI ticket verification replay cache and keytab lifecycle","AT-B14-01 valid ticket accepted; AT-B14-02 replay or invalid ticket denied","AUTH-PROD-A01;AUTH-PROD-A03;AUTH-PROD-A04;AUTH-PROD-A05",DONE
AUTH-PROD-C01,C,scram,"Full SCRAM verifier with salted credential store integration","AT-C01-01 valid client proof accepted; AT-C01-02 replay or invalid proof denied","AUTH-PROD-A03;AUTH-PROD-A04;AUTH-PROD-A05",DONE
AUTH-PROD-C02,C,webauthn,"Authenticator data signature verification and RP policy checks","AT-C02-01 valid assertion accepted; AT-C02-02 challenge replay or RP mismatch denied","AUTH-PROD-A03;AUTH-PROD-A04;AUTH-PROD-A05",DONE
AUTH-PROD-C03,C,factor_chain,"Real factor orchestration and chain policy engine","AT-C03-01 required chain completion accepted; AT-C03-02 skipped or failed factor denied","AUTH-PROD-A03;AUTH-PROD-A05",DONE
AUTH-PROD-D01,D,Threat model,"Updated auth plugin threat model and abuse-case matrix","AT-D01-01 all plugins mapped to abuse cases; AT-D01-02 mitigations tracked to tests","AUTH-PROD-B01..B14;AUTH-PROD-C01..C03",DONE
AUTH-PROD-D02,D,Fuzzing,"Payload and config fuzz suites for all plugin parsers","AT-D02-01 fuzz suites run in CI; AT-D02-02 no high-severity crashes or UB",AUTH-PROD-A05,DONE
AUTH-PROD-D03,D,Secrets hygiene,"Sensitive data redaction and log plus health scrubbing","AT-D03-01 no secrets in logs; AT-D03-02 health payloads contain no secret material","AUTH-PROD-A02;AUTH-PROD-A04",DONE
AUTH-PROD-D04,D,Crypto/dependency review,"Verified crypto usage and dependency posture","AT-D04-01 approved crypto inventory; AT-D04-02 no critical dependency findings open","AUTH-PROD-B01..B14;AUTH-PROD-C01..C03",DONE
AUTH-PROD-E01,E,Canary rollout,"Progressive plugin enablement plan and controls","AT-E01-01 canary metrics stable for agreed window; AT-E01-02 rollback switches verified",AUTH-PROD-D01..D04,DONE
AUTH-PROD-E02,E,Dashboards and alerts,"Auth plugin SLO dashboards and alert rules","AT-E02-01 p95/p99 plus deny/challenge metrics visible; AT-E02-02 alert routing tested","AUTH-PROD-A02;AUTH-PROD-E01",DONE
AUTH-PROD-E03,E,Runbooks,"Incident and rollback runbooks finalized","AT-E03-01 runbook dry-run executed; AT-E03-02 on-call signoff captured","AUTH-PROD-E01;AUTH-PROD-E02",DONE
AUTH-PROD-E04,E,Production signoff,"Final readiness review and cutover authorization","AT-E04-01 all gates green; AT-E04-02 signoff recorded","AUTH-PROD-B01..B14;AUTH-PROD-C01..C03;AUTH-PROD-D01..D04;AUTH-PROD-E01..E03",DONE
AUTH-PROD-F01,F,Provider gap baseline,"Plugin-local baseline audit for enterprise/provider-heavy plugins ident/radius/pam/ldap/kerberos","AT-F01-01 audit script produces deterministic gap report; AT-F01-02 gap report is recorded as dated artifact",AUTH-PROD-E04,DONE
AUTH-PROD-F02,F,ldap,"Replace synthetic primary runtime path with provider-driver execution and production-profile directive lockout","AT-F02-01 successful/failed bind decisions are provider-driver sourced; AT-F02-02 synthetic directives denied in production profile",AUTH-PROD-F01,DONE
AUTH-PROD-F03,F,kerberos,"Replace synthetic primary runtime path with provider-driver ticket verification and production-profile directive lockout","AT-F03-01 ticket allow/deny/replay decisions are provider-driver sourced; AT-F03-02 synthetic directives denied in production profile",AUTH-PROD-F01,DONE
AUTH-PROD-F04,F,radius,"Replace synthetic primary runtime path with provider-driver request/failover handling and production-profile directive lockout","AT-F04-01 timeout/reject/failover outcomes are provider-driver sourced; AT-F04-02 synthetic directives denied in production profile",AUTH-PROD-F01,DONE
AUTH-PROD-F05,F,pam,"Replace synthetic primary runtime path with provider-driver conversation handling and production-profile directive lockout","AT-F05-01 allow/deny/timeout outcomes are provider-driver sourced; AT-F05-02 synthetic directives denied in production profile",AUTH-PROD-F01,DONE
AUTH-PROD-F06,F,ident,"Replace synthetic primary runtime path with provider-driver/live ident query handling and production-profile directive lockout","AT-F06-01 trusted/untrusted ident outcomes are provider-driver sourced; AT-F06-02 synthetic directives denied in production profile",AUTH-PROD-F01,DONE
AUTH-PROD-F07,F,Enterprise integration matrix,"Integration matrix and failure-injection coverage for enterprise provider plugins","AT-F07-01 matrix passes for provider success/error/timeout/policy branches; AT-F07-02 no fail-open regressions",AUTH-PROD-F02..F06,DONE
AUTH-PROD-F08,F,Continuation signoff,"Post-cutover continuation readiness review and signoff artifact","AT-F08-01 all F-phase gates green; AT-F08-02 signoff artifact recorded",AUTH-PROD-F07,DONE
